

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-01-21T11:05:04PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|HSCS J092002-000335|140.00631 |  -0.05977 |GClstr|245680| 0.819500 |PHOT|     |  0.000|1|0|0|1|1|0|0
2|SDSSCGB 07375|140.11375 |  -0.04233 |GGroup||||18.22|  0.000|1|0|0|1|0|0|0
3|KDR2 J092055.9-000400|140.23319 |  -0.06800 |GClstr|157034| 0.523810 |SPEC|     |  0.000|2|0|0|2|3|0|0
4|WHL J092127.1-000818|140.36305 |  -0.13841 |GClstr| 93415| 0.311600 |SPEC|     |  0.000|3|0|0|3|4|0|0
5|HSCS J092216-000712|140.56637 |  -0.11995 |GClstr|237915| 0.793600 |PHOT|     |  0.000|1|0|0|1|1|0|0
6|HSCS J092401-000605|141.00453 |  -0.10135 |GClstr| 71501| 0.238500 |PHOT|     |  0.000|1|0|0|1|1|0|0
7|KDR2 J092404.6-000640|141.01900 |  -0.11100 |GClstr| 68952| 0.230000 |PHOT|     |  0.000|1|0|0|1|1|0|0
8|SDSSCGB 03486|141.02167 |  -0.11733 |GGroup||||18.25|  0.000|1|0|0|1|0|0|0
9|NSC J092408-000554|141.03408 |  -0.09858 |GClstr| 90897| 0.303200 |PHOT|     |  0.000|4|0|0|1|3|0|0
10|WHL J092408.8-000607|141.03687 |  -0.10193 |GClstr| 67474| 0.225070 |SPEC|     |  0.000|3|0|0|3|5|0|0
11|NSC J092413-000616|141.05739 |  -0.10454 |GClstr| 89998| 0.300200 |PHOT|     |  0.000|1|0|0|1|1|0|0
12|[FAC2011] CL_0107|141.19394 |  -0.08729 |GClstr|144194| 0.480980 |AVG |     |  0.000|1|0|0|1|2|0|0
13|KDR2 J092451.6-000537|141.21500 |  -0.09400 |GClstr|158890| 0.530000 |PHOT|     |  0.000|1|0|0|1|1|0|0
