

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-01-21T13:00:05PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|PGC1 0026404 GROUP|140.04136 | -16.52577 |GGroup||||     |  0.000|1|0|0|1|0|0|0
2|PGC1 0026437 GROUP|140.18574 | -34.44107 |GGroup||||     |  0.000|1|0|0|1|0|0|0
3|PGC1 0026455 GROUP|140.25246 | -33.19155 |GGroup||||     |  0.000|1|0|0|1|0|0|0
4|ABELL S0614|140.40969 | -17.49698 |GClstr||||17.5J|  0.000|1|0|0|1|0|0|0
5|ABELL 3418|140.44428 | -21.89712 |GClstr| 23923| 0.079798 |    |17.3J|  0.000|5|0|0|1|1|0|0
6|PGC1 0686082 GROUP|140.51386 | -32.78791 |GGroup||||     |  0.000|1|0|0|1|0|0|0
7|[DZ2015] 368|140.56300 | -17.36700 |GGroup| 10852| 0.036197 |SFO |     |  0.000|1|0|0|1|1|0|0
8|LDCE 0633|140.59792 | -38.62278 |GGroup|  4751| 0.015848 |SST |     |  0.000|1|0|0|1|1|0|0
9|LDCE 0634|140.61083 | -26.02500 |GGroup|  2439| 0.008136 |SST |     |  0.000|1|0|0|1|1|0|0
10|PGC1 0026561 GROUP|140.73555 | -32.42756 |GGroup||||     |  0.000|1|0|0|1|0|0|0
11|[STH2017] 100636|140.74312 | -25.23688 |GGroup|  2305| 0.007689 |UUN |     |  0.000|1|0|0|1|1|0|0
12|ABELL S0615|140.74317 | -22.33138 |GClstr| 16344| 0.054518 |    |17.0J|  0.000|3|0|0|1|1|0|2
13|[STH2017] 102626|140.76468 | -28.01734 |GGroup|  2204| 0.007352 |UUN |     |  0.000|1|0|0|1|1|0|0
14|PGC1 0026566 GROUP|140.79179 | -20.16757 |GGroup||||     |  0.000|1|0|0|1|0|0|0
15|[TSK2008] 0526|140.86417 | -23.16679 |GGroup|  2714| 0.009053 |SUN |     |  0.000|2|0|0|1|1|0|0
16|PSZ1 G252.95+18.94|140.87800 | -23.16550 |GClstr||||     |  0.000|5|0|1|3|0|0|0
17|PGC1 0026601 GROUP|140.88689 | -23.16269 |GGroup||||     |  0.000|1|0|0|1|0|0|0
18|PGC1 0026605 GROUP|140.89327 | -42.76159 |GGroup||||     |  0.000|1|0|0|1|0|0|0
19|PGC1 0026608 GROUP|140.89804 | -26.88400 |GGroup||||     |  0.000|1|0|0|1|0|0|0
20|HDCE 0521|140.90333 | -38.44444 |GGroup|  4796| 0.015998 |SST |     |  0.000|1|0|0|1|1|0|0
21|PGC1 0026624 GROUP|141.00405 | -25.50180 |GGroup||||     |  0.000|1|0|0|1|0|0|0
22|PGC1 0026682 GROUP|141.21876 | -25.78823 |GGroup||||     |  0.000|1|0|0|1|0|0|0
23|[TSK2008] 0554|141.23863 | -27.46357 |GGroup|  2272| 0.007579 |SUN |     |  0.000|1|0|0|1|1|0|0
24|HDCE 0525|141.26875 | -25.32583 |GGroup|  2534| 0.008452 |SST |     |  0.000|1|0|0|1|1|0|0
25|PGC1 0026713 GROUP|141.32510 | -34.10054 |GGroup||||     |  0.000|1|0|0|1|0|0|0
26|PGC1 0026768 GROUP|141.36188 | -28.09108 |GGroup||||     |  0.000|1|0|0|1|0|0|0
27|PSZ2 G252.51+20.02|141.44412 | -22.13185 |GClstr||||     |  0.000|3|0|0|1|0|0|0
28|PSZ2 G265.35+08.06|141.49398 | -39.37612 |GClstr||||     |  0.000|2|0|0|1|0|0|0
29|PSZ1 G265.37+08.05|141.50150 | -39.39430 |GClstr||||     |  0.000|3|0|1|3|0|0|0
30|PSZ2 G246.91+24.65|141.52015 | -15.18734 |GClstr||||     |  0.000|3|0|0|1|0|0|0
31|PGC1 0874650 GROUP|141.60253 | -17.96914 |GGroup||||     |  0.000|1|0|0|1|0|0|0
32|PGC1 0026776 GROUP|141.61294 | -15.71083 |GGroup||||     |  0.000|1|0|0|1|0|0|0
33|PGC1 0026794 GROUP|141.73590 | -24.78297 |GGroup||||     |  0.000|1|0|0|1|0|0|0
34|PGC1 0026819 GROUP|141.85607 | -32.01010 |GGroup||||     |  0.000|1|0|0|1|0|0|0
35|AM 0926-355|142.09032 | -36.16724 |GGroup||||     |  0.000|2|0|0|3|0|0|0
36|ESO 373- G 004|142.10829 | -36.13014 |G|  4827| 0.016101 |    |16.8 |  0.000|12|2|6|4|1|3|0
37|ABELL 3419|142.11888 | -22.73558 |GClstr||||17.4J|  0.000|1|0|0|1|0|0|0
38|MOO J0928-1502|142.16667 | -15.03806 |GClstr|266815| 0.890000 |PHOT|     |  0.000|1|0|0|1|2|0|0
39|[STH2017] 111255|142.17612 | -35.59973 |GGroup|  2152| 0.007178 |UUN |     |  0.000|1|0|0|1|1|0|0
40|[STH2017] 101126|142.21320 | -30.26179 |GGroup|  2264| 0.007552 |UUN |     |  0.000|1|0|0|1|1|0|0
41|PGC1 2816665 GROUP|142.22928 | -29.67219 |GGroup||||     |  0.000|1|0|0|1|0|0|0
42|PGC1 0100711 GROUP|142.35928 | -30.41501 |GGroup||||     |  0.000|1|0|0|1|0|0|0
43|LDCE 0647|142.45417 | -42.25583 |GGroup|  6633| 0.022125 |SST |     |  0.000|1|0|0|1|1|0|0
44|PSZ1 G254.09+19.96|142.49090 | -23.25870 |GClstr||||     |  0.000|5|0|1|3|0|0|0
45|PSZ2 G250.73+22.85|142.50326 | -18.99994 |GClstr||||     |  0.000|2|0|0|1|0|0|0
46|NGC 2904 GROUP|142.57083 | -30.38500 |GGroup||||     |  0.000|1|0|0|1|0|0|0
47|[STH2017] 102464|142.59268 | -16.66315 |GGroup|  1879| 0.006268 |UUN |     |  0.000|1|0|0|1|1|0|0
48|PGC1 0026981 GROUP|142.71042 | -30.36724 |GGroup||||     |  0.000|1|0|0|1|0|0|0
49|PGC1 0027006 GROUP|142.72469 | -35.68842 |GGroup||||     |  0.000|1|0|0|1|0|0|0
50|[STH2017] 112638|142.75802 | -37.77840 |GGroup|  2299| 0.007669 |UUN |     |  0.000|1|0|0|1|1|0|0
51|LDCE 0650|142.79375 | -15.76167 |GGroup|  2036| 0.006791 |SST |     |  0.000|1|0|0|1|1|0|0
52|[STH2017] 112648|142.79592 | -32.94566 |GGroup|   683| 0.002278 |UUN |     |  0.000|1|0|0|1|1|0|0
53|[STH2017] 112379|142.86714 | -25.04828 |GGroup|  2194| 0.007318 |UUN |     |  0.000|1|0|0|1|1|0|0
54|NGC 2907 GROUP|142.90292 | -16.73472 |GGroup||||     |  0.000|1|0|0|1|0|0|0
55|LDCE 0652|142.97958 | -16.64639 |GGroup|  4496| 0.014997 |SST |     |  0.000|1|0|0|1|1|0|0
56|PGC1 0896654 GROUP|142.98427 | -16.55557 |GGroup||||     |  0.000|1|0|0|1|0|0|0
57|PGC1 0027048 GROUP|142.98448 | -16.73810 |GGroup||||     |  0.000|1|0|0|1|0|0|0
58|LGG 175|143.00570 | -16.72594 |GGroup|  1792| 0.005977 |    |     |  0.000|3|0|0|1|1|0|0
59|ABELL 3420|143.03780 | -24.88832 |GClstr| 17958| 0.059900 |    |16.3J|  0.000|9|0|0|1|1|0|0
60|PSZ1 G252.42+22.14|143.06100 | -20.63340 |GClstr|101330| 0.338000 |PHOT|     |  0.000|2|0|1|2|1|0|0
61|PSZ1 G250.02+24.15|143.06260 | -17.64810 |GClstr|119917| 0.400000 |SPEC|     |  0.000|3|0|1|2|2|0|0
62|PSZ2 G250.04+24.14|143.06487 | -17.67137 |GClstr|119917| 0.400000 |UUN |     |  0.000|5|0|0|1|1|0|0
63|[STH2017] 110493|143.10936 | -20.83292 |GGroup|  2739| 0.009136 |UUN |     |  0.000|1|0|0|1|1|0|0
64|ABELL 0823|143.30983 | -25.85578 |GClstr||||17.3J|  0.000|4|0|0|2|0|0|0
65|PGC1 0027129 GROUP|143.31212 | -37.86636 |GGroup||||     |  0.000|1|0|0|1|0|0|0
66|PGC1 0027135 GROUP|143.33753 | -33.03631 |GGroup||||     |  0.000|1|0|0|1|0|0|0
67|ABELL S0616|143.38000 | -27.22266 |GClstr| 89038| 0.297000 |PHOT|17.5J|  0.000|3|0|1|3|2|0|0
68|PGC1 0027149 GROUP|143.39074 | -25.78896 |GGroup||||     |  0.000|1|0|0|1|0|0|0
69|PGC1 0027148 GROUP|143.39639 | -25.13598 |GGroup||||     |  0.000|1|0|0|1|0|0|0
70|RXSC J0933-1704|143.41700 | -17.07700 |GClstr|  2099| 0.007000 |    |     |  0.000|1|0|0|1|2|0|0
71|PSZ2 G257.72+17.85|143.44534 | -27.20045 |GClstr| 89038| 0.297000 |UUN |     |  0.000|3|0|0|1|1|0|0
72|PGC1 0027188 GROUP|143.52877 | -15.30601 |GGroup||||     |  0.000|1|0|0|1|0|0|0
73|PGC1 0027197 GROUP|143.55128 | -20.85890 |GGroup||||     |  0.000|1|0|0|1|0|0|0
74|PGC1 0027214 GROUP|143.63160 | -20.92028 |GGroup||||     |  0.000|1|0|0|1|0|0|0
75|PGC1 4075944 GROUP|143.94957 | -25.16950 |GGroup||||     |  0.000|1|0|0|1|0|0|0
76|[DZ2015] 330|143.96300 | -21.49700 |GGroup|  4664| 0.015559 |SFO |     |  0.000|1|0|0|1|1|0|0
77|[STH2017] 112905|144.02044 | -38.92836 |GGroup|  2233| 0.007448 |UUN |     |  0.000|1|0|0|1|1|0|0
78|[STH2017] 112467|144.03857 | -33.77656 |GGroup|  2422| 0.008079 |UUN |     |  0.000|1|0|0|1|1|0|0
79|PGC1 0027351 GROUP|144.21358 | -21.11691 |GGroup||||     |  0.000|1|0|0|1|0|0|0
80|[DZ2015] 343|144.44200 | -20.45700 |GGroup| 10409| 0.034720 |SFO |     |  0.000|1|0|0|1|1|0|0
81|PGC1 0027430 GROUP|144.45189 | -22.40513 |GGroup||||     |  0.000|1|0|0|1|0|0|0
82|RXGCC 320|144.48200 | -20.34100 |GClstr| 10433| 0.034800 |UUN |     |  0.000|1|0|0|1|1|0|0
83|PGC1 0027438 GROUP|144.48974 | -32.28406 |GGroup||||     |  0.000|1|0|0|1|0|0|0
84|ABELL S0617|144.49875 | -20.34583 |GClstr|  8188| 0.027312 |    |15.6J|  0.000|13|0|0|3|2|0|1
85|PSZ2 G267.55+09.14|144.51584 | -40.08813 |GClstr||||     |  0.000|2|0|0|1|0|0|0
86|ABELL 0842|144.55379 | -20.92600 |GClstr||||16.7J|  0.000|7|0|0|2|0|0|0
87|PGC1 0027468 GROUP|144.56283 | -33.88978 |GGroup||||     |  0.000|1|0|0|1|0|0|0
88|[STH2017] 111263|144.57465 | -32.75825 |GGroup|  2564| 0.008553 |UUN |     |  0.000|1|0|0|1|1|0|0
89|PGC1 0027466 GROUP|144.58058 | -39.00795 |GGroup||||     |  0.000|1|0|0|1|0|0|0
90|ABELL 3421|144.62496 | -29.29291 |GClstr||||17.3J|  0.000|1|0|0|1|0|0|0
91|PGC1 0738495 GROUP|144.69180 | -28.70229 |GGroup||||     |  0.000|1|0|0|1|0|0|0
92|AM 0936-305|144.73912 | -31.12991 |GGroup||||     |  0.000|1|0|0|1|0|0|0
93|[TSK2008] 0497|144.75399 | -30.41459 |GGroup|  2455| 0.008189 |SUN |     |  0.000|1|0|0|1|1|0|0
94|[TSK2008] 0520|144.82123 | -21.16954 |GGroup|  2279| 0.007602 |SUN |     |  0.000|1|0|0|1|1|0|0
95|ABELL S0618|144.87471 | -29.51029 |GClstr||||17.2J|  0.000|2|0|0|1|0|0|0
96|PGC1 4078650 GROUP|144.89598 | -25.12641 |GGroup||||     |  0.000|1|0|0|1|0|0|0
97|[STH2017] 101088|144.98029 | -20.60894 |GGroup|  1965| 0.006555 |UUN |     |  0.000|1|0|0|1|1|0|0
98|ABELL 3422|145.05664 | -27.71079 |GClstr||||17.4J|  0.000|1|0|0|1|0|0|0
99|SWXCS J094016-2153.9|145.06513 | -21.89817 |GClstr||||     |  0.000|2|0|2|2|0|0|0
100|PGC1 0027606 GROUP|145.11813 | -32.84289 |GGroup||||     |  0.000|1|0|0|1|0|0|0
101|PSZ2 G268.07+09.39|145.23997 | -40.24587 |GClstr||||     |  0.000|2|0|0|1|0|0|0
102|PGC1 0909357 GROUP|145.24764 | -15.57230 |GGroup||||     |  0.000|1|0|0|1|0|0|0
103|ABELL 3423|145.25575 | -28.07801 |GClstr||||17.3J|  0.000|1|0|0|1|0|0|0
104|PGC1 0027670 GROUP|145.33584 | -28.96142 |GGroup||||     |  0.000|1|0|0|1|0|0|0
105|PGC1 0027690 GROUP|145.42956 | -28.19136 |GGroup||||     |  0.000|1|0|0|1|0|0|0
106|[STH2017] 101376|145.45061 | -28.89780 |GGroup|  2271| 0.007575 |UUN |     |  0.000|1|0|0|1|1|0|0
